,wall_time,step,value
0,1582160339.5386424,0,12.0
1,1582160339.9118223,10,15.0
2,1582160340.4166393,20,18.0
3,1582160340.8010788,30,12.0
4,1582160341.3065298,40,14.0
5,1582160341.779919,50,18.0
6,1582160342.2914302,60,21.0
7,1582160343.1283164,70,49.0
8,1582160344.1196663,80,110.0
9,1582160345.4528549,90,48.0
10,1582160346.9903991,100,54.0
11,1582160348.6626577,110,171.0
12,1582160351.2552505,120,137.0
13,1582160353.3618882,130,39.0
14,1582160356.5776532,140,346.0
15,1582160359.3300462,150,46.0
16,1582160361.3249476,160,36.0
17,1582160363.3770432,170,58.0
18,1582160366.616779,180,131.0
19,1582160370.4174068,190,221.0
20,1582160373.6277068,200,110.0
21,1582160377.0883095,210,156.0
22,1582160381.8815756,220,197.0
23,1582160387.262281,230,331.0
24,1582160393.6313481,240,324.0
25,1582160400.8704276,250,450.0
26,1582160409.3078647,260,381.0
27,1582160418.3074358,270,316.0
28,1582160427.6477952,280,500.0
29,1582160439.7571423,290,500.0
30,1582160451.8475525,300,500.0
31,1582160458.373285,310,500.0
32,1582160470.5412176,320,500.0
33,1582160475.5936182,330,170.0
34,1582160481.413937,340,307.0
35,1582160488.677964,350,500.0
36,1582160497.2276769,360,178.0
37,1582160501.9961615,370,193.0
38,1582160508.0792093,380,301.0
39,1582160517.5132232,390,500.0
40,1582160525.0770097,400,165.0
41,1582160530.099094,410,238.0
42,1582160537.5710073,420,453.0
43,1582160549.8228934,430,500.0
44,1582160558.8151495,440,157.0
45,1582160563.1597748,450,482.0
46,1582160570.832685,460,500.0
47,1582160582.0612555,470,313.0
48,1582160594.0853095,480,500.0
49,1582160607.430856,490,500.0
50,1582160619.191751,500,448.0
51,1582160627.624532,510,500.0
52,1582160635.774625,520,129.0
53,1582160641.6480584,530,354.0
54,1582160650.0376015,540,267.0
55,1582160660.1952791,550,343.0
56,1582160666.806237,560,248.0
57,1582160676.3314052,570,402.0
58,1582160688.5006227,580,500.0
59,1582160698.8038826,590,157.0
60,1582160703.0710216,600,169.0
61,1582160711.166167,610,500.0
62,1582160722.5253494,620,500.0
63,1582160729.288967,630,164.0
64,1582160732.7487214,640,142.0
65,1582160736.7590425,650,126.0
66,1582160740.8321385,660,158.0
67,1582160745.7009308,670,203.0
68,1582160753.5342512,680,262.0
69,1582160763.8491085,690,500.0
70,1582160773.1963146,700,319.0
71,1582160784.2522078,710,284.0
72,1582160789.8260477,720,226.0
73,1582160795.6442096,730,249.0
74,1582160807.174836,740,500.0
75,1582160819.9173143,750,500.0
76,1582160826.727387,760,184.0
77,1582160831.758014,770,206.0
78,1582160838.4801955,780,500.0
79,1582160850.0262825,790,419.0
80,1582160860.6280105,800,500.0
81,1582160873.6275554,810,500.0
82,1582160886.6569183,820,500.0
83,1582160899.371539,830,500.0
84,1582160907.3155727,840,132.0
85,1582160910.3419254,850,138.0
86,1582160914.461722,860,165.0
87,1582160920.3320265,870,238.0
88,1582160931.2541463,880,500.0
