Wall time,Step,Value
1582077020.5878184,0,-1092.3121337890625
1582077035.2272158,10,-1379.4169921875
1582077050.128584,20,-1456.3912353515625
1582077065.2993872,30,-1351.911376953125
1582077080.7430992,40,-1516.9500732421875
1582077095.8927052,50,-920.6298217773438
1582077110.905278,60,-806.267822265625
1582077125.831666,70,-659.346435546875
1582077141.1622007,80,-127.86579132080078
1582077156.5848093,90,-127.96333312988281
1582077171.5075138,100,-129.638671875
1582077186.3038611,110,-127.14373016357422
1582077201.4099014,120,-135.91867065429688
1582077216.3879576,130,-132.3936309814453
1582077232.0446374,140,-132.22555541992188
1582077247.4495382,150,-134.92503356933594
