,wall_time,step,value
0,1585568133.256389,10,-1731.436279296875
1,1585568167.1789234,20,-1792.00634765625
2,1585568201.0292659,30,-1865.140625
3,1585568234.8608882,40,-1177.91796875
4,1585568268.790577,50,-1143.324951171875
5,1585568302.7251103,60,-1189.197265625
6,1585568336.6268616,70,-1862.9381103515625
7,1585568370.5390697,80,-1068.1988525390625
8,1585568404.3765104,90,-1735.43701171875
9,1585568438.304906,100,-1236.967041015625
10,1585568472.1916249,110,-1286.2724609375
11,1585568506.1262853,120,-1161.2120361328125
12,1585568540.0012321,130,-867.7189331054688
13,1585568573.8654156,140,-1438.4796142578125
14,1585568607.794257,150,-1074.1669921875
15,1585568641.624812,160,-883.6063232421875
16,1585568675.5455172,170,-1101.830078125
17,1585568709.472998,180,-1328.3221435546875
18,1585568743.4106822,190,-1531.649658203125
19,1585568777.2670023,200,-841.4722290039062
20,1585568811.1610649,210,-1023.7565307617188
21,1585568844.9934454,220,-1072.2796630859375
22,1585568878.9081824,230,-1052.328125
23,1585568912.838613,240,-1084.29541015625
24,1585568946.7651176,250,-994.4560546875
25,1585568980.6590567,260,-1249.20361328125
26,1585569014.5733824,270,-968.4234008789062
27,1585569048.500282,280,-1089.9090576171875
28,1585569082.3253143,290,-1185.685302734375
29,1585569116.1768408,300,-1020.02978515625
30,1585569150.1031673,310,-957.9041137695312
31,1585569183.978317,320,-1466.75341796875
32,1585569217.8463418,330,-1022.94189453125
33,1585569251.7359414,340,-1214.3916015625
34,1585569285.673103,350,-846.1434326171875
35,1585569319.5315437,360,-935.3892211914062
36,1585569353.367487,370,-1101.4261474609375
37,1585569387.1992197,380,-1071.8826904296875
38,1585569421.122654,390,-1236.227294921875
39,1585569455.0491705,400,-906.8162231445312
40,1585569488.9857416,410,-1016.41943359375
41,1585569522.900839,420,-896.9032592773438
42,1585569556.821503,430,-1014.2755737304688
43,1585569590.740733,440,-983.3248291015625
44,1585569624.6486979,450,-964.528564453125
45,1585569658.5368357,460,-952.7920532226562
46,1585569692.468963,470,-1092.8345947265625
47,1585569726.2942688,480,-1088.639404296875
48,1585569760.1544592,490,-841.031982421875
49,1585569794.0552619,500,-758.0532836914062
50,1585569827.9792297,510,-991.7246704101562
51,1585569861.859753,520,-852.2396240234375
52,1585569895.785794,530,-883.2545166015625
53,1585569929.7173624,540,-864.78515625
54,1585569963.6256776,550,-1173.399658203125
55,1585569997.5511196,560,-1116.7237548828125
56,1585570031.3859913,570,-980.27392578125
57,1585570065.3046005,580,-1170.3275146484375
58,1585570099.1465998,590,-1302.9608154296875
59,1585570133.033995,600,-1185.0401611328125
60,1585570166.8621142,610,-877.9837646484375
61,1585570200.7831209,620,-1147.142333984375
62,1585570234.709217,630,-847.279541015625
63,1585570268.5535119,640,-972.4722290039062
64,1585570302.4847856,650,-902.5986328125
65,1585570336.3317215,660,-694.428466796875
66,1585570370.1618109,670,-834.7374267578125
67,1585570404.0259254,680,-756.642333984375
68,1585570437.8803596,690,-890.1932983398438
69,1585570471.7323382,700,-962.2196044921875
70,1585570505.6567202,710,-737.9312133789062
71,1585570539.569723,720,-848.7178344726562
72,1585570573.4340687,730,-1200.04296875
73,1585570607.3669991,740,-974.0744018554688
74,1585570641.3013992,750,-1191.80908203125
75,1585570675.2315524,760,-968.7088623046875
76,1585570709.081881,770,-1081.7474365234375
77,1585570742.9512885,780,-822.92919921875
78,1585570776.8761902,790,-902.1561889648438
79,1585570810.8009796,800,-960.1547241210938
80,1585570844.7258828,810,-936.80126953125
81,1585570878.640127,820,-748.2630615234375
82,1585570912.4740155,830,-880.9779052734375
83,1585570946.3988712,840,-892.67041015625
84,1585570980.2715764,850,-1107.595947265625
85,1585571014.1947646,860,-747.3135375976562
86,1585571048.08744,870,-978.8150024414062
