,wall_time,step,value
0,1582693777.8868277,11,-995.1114501953125
1,1582693778.6743937,22,-1614.5374755859375
2,1582693779.4591253,33,-1042.255859375
3,1582693780.2617576,44,-897.1453247070312
4,1582693781.0446572,55,-1079.7999267578125
5,1582693781.8416317,66,-1178.51416015625
6,1582693782.6402419,77,-1135.9208984375
7,1582693783.4399524,88,-886.1480712890625
8,1582693784.2463057,99,-1293.56298828125
9,1582693785.0472062,110,-1387.693359375
10,1582693785.851288,121,-1268.7344970703125
11,1582693786.6402133,132,-1119.4796142578125
12,1582693787.440473,143,-1161.827880859375
13,1582693788.2579224,154,-1020.4014892578125
14,1582693789.0612822,165,-1023.9153442382812
15,1582693789.8846104,176,-1080.958740234375
16,1582693790.6956196,187,-869.481201171875
17,1582693791.533122,198,-1151.4688720703125
18,1582693792.4092293,209,-964.3684692382812
19,1582693793.2261424,220,-1108.46923828125
20,1582693794.0263867,231,-1060.267578125
21,1582693794.8298986,242,-1142.145263671875
22,1582693795.6183076,253,-907.6572875976562
23,1582693796.411158,264,-864.4603271484375
24,1582693797.2143292,275,-859.8517456054688
25,1582693798.022272,286,-982.9552612304688
26,1582693798.8332946,297,-832.9468994140625
27,1582693799.6384819,308,-771.3919067382812
28,1582693800.503604,319,-897.2727661132812
29,1582693801.3300214,330,-778.7643432617188
30,1582693802.1449153,341,-954.4298095703125
31,1582693802.9546158,352,-860.7284545898438
32,1582693803.7754946,363,-883.732421875
33,1582693804.5879288,374,-687.5493774414062
34,1582693805.4011922,385,-869.5289306640625
35,1582693806.2254863,396,-861.4969482421875
36,1582693807.071539,407,-848.99462890625
37,1582693807.874816,418,-925.38427734375
38,1582693808.6896448,429,-899.6973876953125
39,1582693809.5098536,440,-990.9218139648438
40,1582693810.3211734,451,-860.6146240234375
41,1582693811.1230588,462,-972.1466064453125
42,1582693811.9116335,473,-922.5968017578125
43,1582693812.7030618,484,-890.7996215820312
44,1582693813.5109982,495,-922.2211303710938
45,1582693814.3320282,506,-762.7772216796875
46,1582693815.1478913,517,-757.927001953125
47,1582693815.979375,528,-878.9078979492188
48,1582693816.7870471,539,-742.5029296875
49,1582693817.5968003,550,-728.63134765625
50,1582693818.407608,561,-1022.5955810546875
51,1582693819.2258554,572,-912.1597290039062
52,1582693820.027416,583,-1070.1817626953125
53,1582693820.8306205,594,-934.9478149414062
54,1582693821.6265864,605,-779.3842163085938
55,1582693822.4098928,616,-749.2060546875
56,1582693823.1955793,627,-763.9873657226562
57,1582693823.9815044,638,-756.3075561523438
58,1582693824.7738574,649,-859.926025390625
59,1582693825.564574,660,-704.793212890625
60,1582693826.408239,671,-864.2013549804688
61,1582693827.2075999,682,-746.6041259765625
62,1582693828.0021913,693,-868.520263671875
63,1582693828.8095176,704,-745.2814331054688
64,1582693829.6119409,715,-857.456787109375
65,1582693830.4215086,726,-884.5446166992188
66,1582693831.2444136,737,-750.9491577148438
67,1582693832.0410407,748,-749.8827514648438
68,1582693832.845332,759,-793.471923828125
69,1582693833.6467981,770,-1002.857421875
70,1582693834.440753,781,-826.5247802734375
71,1582693835.2319303,792,-762.5950927734375
72,1582693836.0383682,803,-891.971435546875
73,1582693836.849812,814,-731.99267578125
74,1582693837.6507225,825,-741.0619506835938
75,1582693838.4665985,836,-750.0628662109375
76,1582693839.2877269,847,-663.1300659179688
77,1582693840.081492,858,-796.4620971679688
78,1582693840.874039,869,-895.643798828125
79,1582693841.6757998,880,-629.08154296875
80,1582693842.4896085,891,-620.4650268554688
81,1582693843.298092,902,-627.0195922851562
82,1582693844.1078787,913,-972.0911865234375
83,1582693844.9136553,924,-905.2973022460938
84,1582693845.7190015,935,-740.596923828125
85,1582693846.5310822,946,-624.1932373046875
86,1582693847.3264375,957,-742.9241333007812
87,1582693848.1387572,968,-509.3118896484375
88,1582693848.937456,979,-785.7921142578125
89,1582693849.743241,990,-641.0663452148438
90,1582693850.557394,1001,-632.404541015625
91,1582693851.3695812,1012,-753.4630737304688
92,1582693852.1933486,1023,-506.011962890625
93,1582693853.0117662,1034,-710.5858764648438
94,1582693853.8202093,1045,-489.898681640625
95,1582693854.6250887,1056,-625.1959228515625
96,1582693855.4489949,1067,-384.8990173339844
97,1582693856.2532995,1078,-501.7308044433594
98,1582693857.0563283,1089,-255.1356201171875
99,1582693857.8494322,1100,-500.63299560546875
100,1582693858.6451757,1111,-261.1112365722656
101,1582693859.432844,1122,-127.8892822265625
102,1582693860.2200007,1133,-251.728271484375
103,1582693861.015538,1144,-123.18563079833984
104,1582693861.8205993,1155,-252.9937744140625
105,1582693862.6254547,1166,-380.2926330566406
