,wall_time,step,value
0,1582693936.897697,11,-958.7342529296875
1,1582693937.678474,22,-987.6594848632812
2,1582693938.4603493,33,-1206.3704833984375
3,1582693939.2421358,44,-965.939208984375
4,1582693940.0244737,55,-1089.187744140625
5,1582693940.8074281,66,-1054.1788330078125
6,1582693941.589535,77,-1056.219482421875
7,1582693942.3728957,88,-891.6522216796875
8,1582693943.1568656,99,-870.8789672851562
9,1582693943.944571,110,-959.0519409179688
10,1582693944.7315514,121,-1020.7236938476562
11,1582693945.5191598,132,-890.91796875
12,1582693946.3060136,143,-883.1350708007812
13,1582693947.093319,154,-1055.4283447265625
14,1582693947.8892155,165,-993.0282592773438
15,1582693948.6794128,176,-986.4901733398438
16,1582693949.4665651,187,-950.9052734375
17,1582693950.2533455,198,-906.7759399414062
18,1582693951.0578074,209,-880.429931640625
19,1582693951.849314,220,-991.1792602539062
20,1582693952.648294,231,-1000.4904174804688
21,1582693953.4408164,242,-805.6614379882812
22,1582693954.2229407,253,-1081.114013671875
23,1582693955.0056434,264,-926.6626586914062
24,1582693955.7876832,275,-772.826904296875
25,1582693956.5857491,286,-1064.56298828125
26,1582693957.3870661,297,-1029.8360595703125
27,1582693958.189302,308,-1107.1796875
28,1582693958.9890406,319,-852.401123046875
29,1582693959.780031,330,-861.5262451171875
30,1582693960.572133,341,-748.3408203125
31,1582693961.3627048,352,-1194.583984375
32,1582693962.153251,363,-857.2945556640625
33,1582693962.9463534,374,-1024.7093505859375
34,1582693963.743119,385,-917.7111206054688
35,1582693964.5236402,396,-899.5309448242188
36,1582693965.3041627,407,-1018.2551879882812
37,1582693966.0842113,418,-880.7365112304688
38,1582693966.880438,429,-1085.22998046875
39,1582693967.6870453,440,-862.0177001953125
40,1582693968.4939172,451,-1001.7221069335938
41,1582693969.3125906,462,-888.3959350585938
42,1582693970.1255593,473,-821.4774169921875
43,1582693970.931234,484,-892.9447021484375
44,1582693971.7325356,495,-1004.5125122070312
45,1582693972.5488067,506,-1015.745361328125
46,1582693973.3579445,517,-1123.496337890625
47,1582693974.1694124,528,-1036.663818359375
48,1582693974.960233,539,-1039.916015625
49,1582693975.7445395,550,-1001.1678466796875
50,1582693976.5279694,561,-767.0069580078125
51,1582693977.316967,572,-509.5782470703125
52,1582693978.1189651,583,-757.4505615234375
53,1582693978.9181364,594,-919.22021484375
54,1582693979.7243786,605,-774.6939697265625
55,1582693980.526219,616,-981.0933227539062
56,1582693981.335389,627,-739.7244873046875
57,1582693982.127949,638,-892.9893798828125
58,1582693982.9176981,649,-771.4764404296875
59,1582693983.7164373,660,-872.5922241210938
60,1582693984.5118566,671,-762.3306884765625
61,1582693985.3924365,682,-758.7651977539062
62,1582693986.2045667,693,-759.3363647460938
63,1582693987.0038211,704,-832.2034912109375
64,1582693987.7938972,715,-770.7297973632812
65,1582693988.5839705,726,-1063.24853515625
66,1582693989.3723629,737,-861.8189697265625
67,1582693990.17978,748,-933.3995971679688
68,1582693990.9749043,759,-998.34130859375
69,1582693991.761154,770,-982.8111572265625
70,1582693992.5439758,781,-787.3787231445312
71,1582693993.32749,792,-892.3310546875
72,1582693994.109583,803,-769.7802124023438
73,1582693994.8925233,814,-799.28662109375
74,1582693995.675622,825,-732.7586669921875
75,1582693996.4610753,836,-907.4006958007812
76,1582693997.2544346,847,-614.3758544921875
77,1582693998.0502532,858,-652.8511962890625
78,1582693998.8442335,869,-872.123046875
79,1582693999.6384747,880,-884.4273681640625
80,1582694000.4344337,891,-863.164794921875
81,1582694001.2314858,902,-646.78955078125
82,1582694002.0329604,913,-625.4955444335938
83,1582694002.8333695,924,-629.2595825195312
84,1582694003.6329868,935,-623.1231079101562
85,1582694004.4315338,946,-750.9210815429688
86,1582694005.2307105,957,-748.87939453125
87,1582694006.0305805,968,-627.3367919921875
88,1582694006.8288586,979,-754.6793823242188
89,1582694007.6133754,990,-740.9982299804688
90,1582694008.399384,1001,-749.5226440429688
91,1582694009.1916554,1012,-614.89990234375
92,1582694009.9859304,1023,-621.7314453125
93,1582694010.7808807,1034,-617.7022094726562
94,1582694011.5782597,1045,-626.3185424804688
95,1582694012.3805344,1056,-840.8492431640625
96,1582694013.1814158,1067,-629.9459838867188
97,1582694013.9753983,1078,-381.9364013671875
98,1582694014.7724469,1089,-652.6514282226562
99,1582694015.566991,1100,-506.0594177246094
100,1582694016.3604677,1111,-513.7446899414062
101,1582694017.1557288,1122,-501.2861633300781
102,1582694017.948161,1133,-496.90179443359375
103,1582694018.738258,1144,-374.1629638671875
104,1582694019.5230803,1155,-506.35784912109375
105,1582694020.3141518,1166,-377.2265319824219
106,1582694021.1110947,1177,-523.1729125976562
107,1582694021.9052653,1188,-412.5198974609375
108,1582694022.6929376,1199,-371.3462829589844
109,1582694023.4935036,1210,-370.30181884765625
110,1582694024.2877162,1221,-362.210693359375
111,1582694025.0700955,1232,-255.46546936035156
112,1582694025.8542638,1243,-734.5947265625
113,1582694026.6391392,1254,-537.8737182617188
114,1582694027.423535,1265,-359.6575622558594
115,1582694028.208072,1276,-376.9166259765625
116,1582694028.9923787,1287,-122.45298767089844
117,1582694029.7767835,1298,-386.072265625
