,wall_time,step,value
0,1582694030.577261,11,-1643.21337890625
1,1582694031.3676705,22,-1107.39404296875
2,1582694032.1596844,33,-1202.3048095703125
3,1582694032.950359,44,-945.9051513671875
4,1582694033.739908,55,-762.742919921875
5,1582694034.524003,66,-874.4009399414062
6,1582694035.3104148,77,-983.3859252929688
7,1582694036.0977159,88,-1155.9586181640625
8,1582694036.8849285,99,-1117.930419921875
9,1582694037.6718404,110,-879.121826171875
10,1582694038.4589944,121,-864.7481689453125
11,1582694039.2458162,132,-1163.94091796875
12,1582694040.0344353,143,-755.9893188476562
13,1582694040.8324249,154,-857.0611572265625
14,1582694041.6197767,165,-1691.4571533203125
15,1582694042.4077878,176,-905.63330078125
16,1582694043.191657,187,-1335.851318359375
17,1582694043.9777334,198,-1043.4736328125
18,1582694044.760948,209,-972.2442016601562
19,1582694045.5432236,220,-1004.9718017578125
20,1582694046.3242307,231,-1056.7576904296875
21,1582694047.1061974,242,-969.9562377929688
22,1582694047.9228377,253,-883.1748046875
23,1582694048.7305982,264,-1136.01611328125
24,1582694049.5190248,275,-971.6841430664062
25,1582694050.302889,286,-1063.7935791015625
26,1582694051.0898986,297,-1434.90576171875
27,1582694051.8771687,308,-908.0908813476562
28,1582694052.6689384,319,-983.5453491210938
29,1582694053.457182,330,-985.822021484375
30,1582694054.247404,341,-1004.7733764648438
31,1582694055.0363371,352,-885.869140625
32,1582694055.826295,363,-1359.7171630859375
33,1582694056.6155908,374,-1217.7919921875
34,1582694057.4033697,385,-1001.8145751953125
35,1582694058.1905553,396,-1008.4698486328125
36,1582694058.9788444,407,-1041.6708984375
37,1582694059.7691188,418,-1004.8041381835938
38,1582694060.5607772,429,-709.2175903320312
39,1582694061.3483474,440,-744.0403442382812
40,1582694062.1376584,451,-1011.2774658203125
41,1582694062.9266737,462,-1004.9755859375
42,1582694063.7154415,473,-986.9317626953125
43,1582694064.503415,484,-927.9133911132812
44,1582694065.2925458,495,-890.7142333984375
45,1582694066.0809069,506,-872.4142456054688
46,1582694066.8691075,517,-997.0789184570312
47,1582694067.6573513,528,-882.9295654296875
48,1582694068.4488316,539,-866.5499267578125
49,1582694069.2313256,550,-860.8447875976562
50,1582694070.0152879,561,-797.6171875
51,1582694070.7990477,572,-738.5538330078125
52,1582694071.5871909,583,-955.6327514648438
53,1582694072.3722334,594,-858.5392456054688
54,1582694073.1559951,605,-708.3197021484375
55,1582694073.9430625,616,-665.947021484375
56,1582694074.7321272,627,-752.52783203125
57,1582694075.5193481,638,-799.7486572265625
58,1582694076.3081293,649,-746.370361328125
59,1582694077.0954034,660,-398.5337829589844
60,1582694077.8847423,671,-739.3185424804688
61,1582694078.6717565,682,-750.6266479492188
62,1582694079.4604003,693,-752.411865234375
63,1582694080.2470696,704,-756.9119873046875
64,1582694081.0348482,715,-395.2621154785156
65,1582694081.823781,726,-741.4437866210938
66,1582694082.616567,737,-504.9146728515625
67,1582694083.4199939,748,-742.34326171875
68,1582694084.2289429,759,-757.7802124023438
69,1582694085.0327811,770,-506.16363525390625
70,1582694085.8391817,781,-627.759033203125
71,1582694086.6291573,792,-695.0079956054688
72,1582694087.4173174,803,-751.2850341796875
73,1582694088.2066772,814,-734.2496948242188
74,1582694088.9954925,825,-857.8724365234375
75,1582694089.7836373,836,-638.3187255859375
76,1582694090.5739007,847,-747.8817749023438
77,1582694091.3632977,858,-733.5960083007812
78,1582694092.1527462,869,-506.0569763183594
79,1582694092.9477725,880,-641.4442749023438
80,1582694093.7492836,891,-630.8919677734375
81,1582694094.5433798,902,-637.6394653320312
82,1582694095.3375816,913,-635.7572631835938
83,1582694096.1399708,924,-624.2107543945312
84,1582694096.939462,935,-622.0161743164062
85,1582694097.7566726,946,-674.9126586914062
86,1582694098.5474002,957,-736.2722778320312
87,1582694099.3534923,968,-653.749267578125
88,1582694100.1585739,979,-509.2129211425781
89,1582694100.9565663,990,-507.0281066894531
90,1582694101.7516754,1001,-621.115234375
91,1582694102.555776,1012,-498.6920166015625
92,1582694103.3592603,1023,-512.397705078125
93,1582694104.1696234,1034,-546.2035522460938
94,1582694104.9661508,1045,-619.5638427734375
95,1582694105.757691,1056,-533.742919921875
96,1582694106.56066,1067,-622.6965942382812
97,1582694107.351678,1078,-507.84808349609375
98,1582694108.1400952,1089,-560.6522827148438
99,1582694108.931764,1100,-676.7240600585938
100,1582694109.731189,1111,-382.28778076171875
101,1582694110.5296185,1122,-279.0959167480469
102,1582694111.3254118,1133,-384.2679443359375
103,1582694112.127939,1144,-632.778564453125
104,1582694112.9174435,1155,-375.734619140625
105,1582694113.7097132,1166,-498.29998779296875
106,1582694114.4999523,1177,-241.34152221679688
107,1582694115.2957006,1188,-301.4661865234375
108,1582694116.094102,1199,-128.0142364501953
109,1582694116.8840735,1210,-348.7955322265625
110,1582694117.6972027,1221,-254.6851043701172
